SURVYEAR	LFSSTAT	PROV	SEX	TENURE	UNION	HRLYEARN	HOURS	EDUC	AGE	ANNUAL_WAGE
1997	Employed,	ON	Male	5	NA	NA	30	Some PS	30-44	NA
1997	Employed,	ON	Male	10	No	14.84	35	Ba or More	15-29	27008.8
1997	Employed,	AB	Female	194	Yes	18.5	37.5	HS Grad	30-44	36075
1997	Employed,	ON	Male	128	No	18.35	40	HS Grad	30-44	38168
1997	Employed,	BC	Male	40	No	7.67	15	HS Dropout	15-29	5982.6
1997	Employed,	QC	Male	240	Yes	42.47	24	Ba or More	45-59	53002.56
1997	Employed,	ON	Female	8	No	7.25	32	HS Grad	30-44	12064
1997	Employed,	BC	Male	240	NA	NA	60	HS Grad	45-59	NA
1997	Employed,	ON	Male	73	No	8.75	14	Some PS	15-29	6370
1997	Employed,	QC	Male	74	NA	NA	40	Ba or More	30-44	NA
1997	Employed,	ON	Female	92	Yes	9.26	35	HS Dropout	45-59	16853.2
1997	Employed,	QC	Male	240	Yes	21	40	Some PS	45-59	43680
1997	Unemployed	ON	Male	NA	NA	NA	NA	HS Grad	30-44	NA
1997	Employed,	ON	Female	4	No	8	20	Ba or More	30-44	8320
1997	Employed,	QC	Female	154	Yes	31.84	26	Some PS	30-44	43047.68
1997	Employed,	BC	Male	28	NA	NA	40	Some PS	45-59	NA
1997	Employed,	BC	Male	202	NA	NA	40	Ba or More	45-59	NA
1997	Employed,	ON	Male	42	No	17	40	HS Dropout	30-44	35360
1997	Unemployed	ON	Female	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	AB	Male	192	Yes	28.21	37.5	Ba or More	45-59	55009.5
1997	Employed,	ON	Male	8	No	12.5	40	Some PS	15-29	26000
1997	Employed,	ON	Female	21	Yes	12.18	15	HS Grad	45-59	9500.4
1997	Employed,	QC	Male	240	Yes	14	38.7	HS Dropout	45-59	28173.6
1997	Employed,	QC	Female	240	No	22.6	40	Some PS	45-59	47008
1997	Employed,	ON	Female	8	No	5.95	28	HS Grad	15-29	8663.2
1997	Employed,	AB	Male	230	NA	NA	56	Some PS	45-59	NA
1997	Employed,	ON	Female	96	NA	NA	50	Ba or More	45-59	NA
1997	Employed,	AB	Female	25	No	5	30	HS Grad	15-29	7800
1997	Employed,	AB	Female	102	No	26.3	30	Some PS	30-44	41028
1997	Employed,	ON	Male	71	No	6.5	6	HS Grad	15-29	2028
1997	Employed,	ON	Male	10	No	12.25	40	Some PS	45-59	25480
1997	Employed,	QC	Female	124	No	4.81	18	Some PS	30-44	4502.16
1997	Employed,	QC	Male	141	No	11.25	40	Some PS	30-44	23400
1997	Employed,	ON	Female	91	No	20.51	37.5	HS Dropout	30-44	39994.5
1997	Employed,	AB	Male	148	No	22.55	40	Some PS	30-44	46904
1997	Employed,	QC	Male	240	Yes	15.83	40	HS Dropout	30-44	32926.4
1997	Employed,	QC	Male	57	Yes	15	40	Some PS	30-44	31200
1997	Employed,	QC	Male	3	No	6.7	40	Some PS	15-29	13936
1997	Employed,	AB	Female	206	No	10	40	Some PS	45-59	20800
1997	Employed,	ON	Male	2	NA	NA	40	Some PS	30-44	NA
1997	Employed,	ON	Male	81	Yes	28	36	Some PS	45-59	52416
1997	Unemployed	QC	Male	NA	NA	NA	NA	HS Dropout	30-44	NA
1997	Employed,	ON	Female	39	NA	NA	20	Some PS	60+	NA
1997	Employed,	ON	Female	39	No	6.85	35	HS Dropout	15-29	12467
1997	Employed,	QC	Male	31	No	37.5	40	Ba or More	45-59	78000
1997	Unemployed	ON	Male	NA	NA	NA	NA	Some PS	45-59	NA
1997	Employed,	AB	Female	3	No	7	12	Some PS	30-44	4368
1997	Employed,	ON	Male	240	No	43.59	37.5	Ba or More	45-59	85000.5
1997	Employed,	QC	Male	240	Yes	21.08	37.5	Some PS	45-59	41106
1997	Employed,	ON	Female	22	No	14.42	40	HS Grad	30-44	29993.6
1997	Employed,	ON	Male	28	Yes	19.48	40	HS Dropout	15-29	40518.4
1997	Employed,	AB	Female	34	No	9	40	Some PS	15-29	18720
1997	Employed,	ON	Male	43	Yes	16.15	40	Ba or More	30-44	33592
1997	Unemployed	QC	Male	NA	NA	NA	NA	HS Dropout	30-44	NA
1997	Employed,	BC	Male	12	No	8	37	HS Grad	45-59	15392
1997	Employed,	ON	Male	10	No	7.15	16	HS Dropout	15-29	5948.8
1997	Employed,	QC	Female	68	Yes	21.5	37.5	Some PS	15-29	41925
1997	Employed,	ON	Female	53	No	8	18	HS Dropout	15-29	7488
1997	Employed,	AB	Male	31	No	18	50	Some PS	30-44	46800
1997	Employed,	ON	Male	240	Yes	7.25	40	HS Dropout	45-59	15080
1997	Employed,	QC	Male	21	No	12	40	Some PS	30-44	24960
1997	Employed,	ON	Male	240	NA	NA	50	HS Dropout	30-44	NA
1997	Employed,	ON	Male	56	NA	NA	26	HS Dropout	15-29	NA
1997	Employed,	QC	Female	240	NA	NA	30	HS Dropout	45-59	NA
1997	Employed,	QC	Female	2	No	11	38	Some PS	30-44	21736
1997	Employed,	ON	Female	103	Yes	14.14	30	HS Grad	30-44	22058.4
1997	Employed,	QC	Male	5	No	9	40	Some PS	15-29	18720
1997	Employed,	ON	Female	22	No	10.55	23	Some PS	15-29	12617.8
1997	Employed,	ON	Female	211	Yes	11.43	40	HS Dropout	60+	23774.4
1997	Employed,	BC	Male	205	No	23.75	40	HS Grad	45-59	49400
1997	Employed,	QC	Female	28	No	15.5	38	Some PS	30-44	30628
1997	Employed,	ON	Male	203	Yes	28.21	37.5	Ba or More	30-44	55009.5
1997	Employed,	BC	Male	240	No	37.1	40	HS Grad	45-59	77168
1997	Unemployed	AB	Male	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	AB	Male	24	Yes	18	37	Some PS	45-59	34632
1997	Unemployed	ON	Male	NA	NA	NA	NA	HS Dropout	30-44	NA
1997	Employed,	ON	Female	240	NA	NA	24	HS Grad	60+	NA
1997	Employed,	AB	Male	3	No	13	40	Some PS	15-29	27040
1997	Employed,	QC	Female	34	No	6.75	42.5	HS Grad	15-29	14917.5
1997	Employed,	ON	Female	75	No	17.31	50	Some PS	45-59	45006
1997	Employed,	AB	Male	14	No	18	44	Ba or More	30-44	41184
1997	Employed,	AB	Female	65	Yes	20.94	40	Some PS	45-59	43555.2
1997	Employed,	QC	Female	240	No	9.5	40	HS Grad	45-59	19760
1997	Employed,	AB	Male	22	No	21.63	40	HS Grad	30-44	44990.4
1997	Employed,	ON	Male	48	NA	NA	37.5	Ba or More	30-44	NA
1997	Employed,	BC	Male	160	Yes	24	42	HS Grad	30-44	52416
1997	Employed,	QC	Female	240	Yes	29.59	32.5	Ba or More	45-59	50007.1
1997	Employed,	ON	Male	185	Yes	25	40	Some PS	45-59	52000
1997	Employed,	ON	Male	57	No	5.38	60	HS Dropout	30-44	16785.6
1997	Employed,	BC	Female	240	Yes	18	36	Some PS	45-59	33696
1997	Employed,	QC	Female	183	Yes	16.27	35	Some PS	30-44	29611.4
1997	Employed,	ON	Female	127	Yes	16.95	42	Some PS	45-59	37018.8
1997	Employed,	AB	Male	240	No	25	40	Some PS	30-44	52000
1997	Employed,	ON	Female	126	No	34.97	27.5	Some PS	30-44	50007.1
1997	Employed,	BC	Male	70	NA	NA	10	Ba or More	45-59	NA
1997	Unemployed	ON	Male	NA	NA	NA	NA	HS Dropout	30-44	NA
1997	Employed,	ON	Male	43	Yes	23.31	10	Ba or More	30-44	12121.2
1997	Employed,	QC	Male	46	No	9	40	HS Dropout	15-29	18720
1997	Employed,	BC	Female	7	No	8.58	25	Some PS	30-44	11154
1997	Employed,	ON	Male	132	No	25	40	Some PS	30-44	52000
1997	Employed,	ON	Male	24	Yes	12.65	36.5	Some PS	15-29	24009.7
1997	Employed,	ON	Female	19	NA	NA	16	Some PS	15-29	NA
1997	Employed,	QC	Male	6	No	9	40	Some PS	45-59	18720
1997	Employed,	BC	Female	7	Yes	17.79	30	HS Grad	30-44	27752.4
1997	Employed,	BC	Male	75	Yes	27	35	Ba or More	30-44	49140
1997	Employed,	QC	Male	67	No	11.25	40	HS Dropout	30-44	23400
1997	Employed,	ON	Male	11	Yes	12.15	36	HS Dropout	30-44	22744.8
1997	Employed,	AB	Male	27	No	13	40	HS Grad	15-29	27040
1997	Employed,	ON	Female	62	No	11	20	HS Dropout	45-59	11440
1997	Employed,	QC	Female	151	Yes	12	40	HS Dropout	30-44	24960
1997	Employed,	AB	Male	1	No	5.25	35	HS Dropout	15-29	9555
1997	Unemployed	ON	Male	NA	NA	NA	NA	HS Dropout	15-29	NA
1997	Employed,	ON	Female	89	Yes	16.99	36.3	HS Grad	30-44	32070.324
1997	Employed,	QC	Male	240	Yes	17	40	Some PS	45-59	35360
1997	Employed,	ON	Male	106	Yes	22.6	40	Ba or More	45-59	47008
1997	Unemployed	QC	Female	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	ON	Female	156	NA	NA	30	Some PS	30-44	NA
1997	Employed,	ON	Male	240	Yes	24.9	40	Some PS	45-59	51792
1997	Employed,	ON	Male	30	Yes	19.23	48	Ba or More	15-29	47998.08
1997	Employed,	QC	Male	71	Yes	22	30	Some PS	30-44	34320
1997	Employed,	BC	Female	30	NA	NA	5	Some PS	30-44	NA
1997	Employed,	AB	Male	7	No	7	40	HS Dropout	30-44	14560
1997	Employed,	QC	Male	7	No	16.35	40	Some PS	30-44	34008
1997	Employed,	BC	Male	111	Yes	23	50	HS Dropout	15-29	59800
1997	Employed,	QC	Female	3	No	9.85	40	HS Grad	15-29	20488
1997	Employed,	ON	Female	49	No	11.83	37.5	HS Grad	15-29	23068.5
1997	Employed,	BC	Male	12	No	7.65	30	HS Grad	15-29	11934
1997	Employed,	BC	Female	240	No	26.67	37.5	Ba or More	60+	52006.5
1997	Unemployed	AB	Male	NA	NA	NA	NA	Ba or More	45-59	NA
1997	Employed,	ON	Female	18	No	8	45	Some PS	30-44	18720
1997	Employed,	ON	Female	169	No	28.85	40	Ba or More	30-44	60008
1997	Unemployed	ON	Female	NA	NA	NA	NA	HS Grad	30-44	NA
1997	Employed,	QC	Female	79	No	9	22.5	HS Dropout	45-59	10530
1997	Employed,	AB	Male	12	No	16	40	Some PS	45-59	33280
1997	Employed,	QC	Male	1	No	18	4	Ba or More	15-29	3744
1997	Employed,	QC	Male	114	Yes	13.24	33.5	Some PS	30-44	23064.08
1997	Unemployed	AB	Female	NA	NA	NA	NA	HS Grad	30-44	NA
1997	Employed,	BC	Female	139	Yes	12.51	37.5	Some PS	45-59	24394.5
1997	Employed,	ON	Male	228	Yes	23	50	HS Grad	30-44	59800
1997	Employed,	ON	Female	85	No	12.5	40	HS Grad	30-44	26000
1997	Employed,	ON	Male	207	No	13	50	HS Grad	45-59	33800
1997	Employed,	AB	Female	3	No	18	2	HS Dropout	45-59	1872
1997	Employed,	QC	Male	37	Yes	16.72	40	Some PS	30-44	34777.6
1997	Employed,	AB	Female	2	No	12.41	20	Some PS	30-44	12906.4
1997	Unemployed	QC	Female	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	QC	Female	186	NA	NA	30	Some PS	30-44	NA
1997	Employed,	ON	Female	211	Yes	26.04	48	Ba or More	45-59	64995.84
1997	Employed,	ON	Male	11	No	12.12	42	Some PS	15-29	26470.08
1997	Employed,	AB	Female	4	NA	NA	4	HS Dropout	15-29	NA
1997	Employed,	ON	Male	127	No	33.53	40	Ba or More	30-44	69742.4
1997	Employed,	ON	Male	240	Yes	15	50	HS Grad	45-59	39000
1997	Employed,	ON	Male	111	Yes	15.5	40	Some PS	45-59	32240
1997	Employed,	ON	Male	4	No	7.35	40	Some PS	15-29	15288
1997	Employed,	ON	Male	21	NA	NA	20	Ba or More	30-44	NA
1997	Employed,	ON	Female	33	No	14.42	40	Some PS	30-44	29993.6
1997	Employed,	AB	Female	94	Yes	17	37.5	HS Grad	45-59	33150
1997	Employed,	BC	Female	178	NA	NA	20	Some PS	45-59	NA
1997	Employed,	BC	Female	3	No	7	30	HS Dropout	15-29	10920
1997	Employed,	BC	Male	79	NA	NA	30	Ba or More	30-44	NA
1997	Employed,	QC	Male	228	Yes	16	40	Some PS	45-59	33280
1997	Employed,	ON	Female	94	No	11	40	Ba or More	45-59	22880
1997	Employed,	QC	Female	116	NA	NA	24	Some PS	30-44	NA
1997	Employed,	ON	Female	2	No	15	40	Some PS	30-44	31200
1997	Employed,	AB	Male	7	NA	NA	60	Some PS	15-29	NA
1997	Employed,	ON	Female	58	NA	NA	12	HS Dropout	30-44	NA
1997	Employed,	ON	Female	103	No	20.88	35	HS Grad	15-29	38001.6
1997	Employed,	BC	Male	240	NA	NA	55	Some PS	30-44	NA
1997	Unemployed	ON	Female	NA	NA	NA	NA	HS Dropout	15-29	NA
1997	Employed,	AB	Male	7	No	10.1	40	Some PS	45-59	21008
1997	Employed,	AB	Male	5	No	8.4	6	Some PS	15-29	2620.8
1997	Employed,	BC	Male	240	Yes	30.29	40	Ba or More	45-59	63003.2
1997	Employed,	ON	Female	178	Yes	26.17	37.5	Some PS	30-44	51031.5
1997	Employed,	AB	Female	195	Yes	13	30	HS Dropout	45-59	20280
1997	Employed,	ON	Female	135	No	19.85	15	Some PS	45-59	15483
1997	Employed,	ON	Male	41	NA	NA	30	Ba or More	45-59	NA
1997	Employed,	BC	Male	240	No	39.93	35	Some PS	45-59	72672.6
1997	Employed,	ON	Female	19	No	8.5	22	HS Grad	30-44	9724
1997	Employed,	AB	Male	13	No	16.62	37.5	Ba or More	30-44	32409
1997	Employed,	ON	Male	111	No	16.62	40	HS Grad	15-29	34569.6
1997	Employed,	ON	Male	27	NA	NA	0.5	Some PS	30-44	NA
1997	Employed,	ON	Male	87	No	23.08	40	Ba or More	30-44	48006.4
1997	Employed,	ON	Male	18	Yes	14.15	40	Some PS	45-59	29432
1997	Employed,	AB	Male	240	No	12.5	40	HS Grad	60+	26000
1997	Unemployed	QC	Female	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	ON	Female	9	No	9	20	HS Dropout	15-29	9360
1997	Unemployed	ON	Male	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	ON	Male	115	No	13.64	55	Ba or More	30-44	39010.4
1997	Unemployed	QC	Female	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	ON	Female	20	No	7	15	HS Grad	60+	5460
1997	Employed,	ON	Female	11	No	6.85	10	Some PS	15-29	3562
1997	Employed,	ON	Female	240	Yes	22.69	50	Ba or More	30-44	58994
1997	Employed,	AB	Female	18	No	6.5	20	Some PS	15-29	6760
1997	Employed,	BC	Female	7	Yes	15	30	HS Grad	30-44	23400
1997	Unemployed	ON	Male	NA	NA	NA	NA	Some PS	45-59	NA
1997	Employed,	ON	Male	6	Yes	9.4	40	HS Grad	30-44	19552
1997	Employed,	ON	Female	44	No	14	37.5	HS Dropout	30-44	27300
1997	Employed,	QC	Male	131	Yes	14	40	HS Grad	30-44	29120
1997	Employed,	QC	Female	19	No	9	40	HS Dropout	30-44	18720
1997	Employed,	AB	Male	7	No	8.65	40	HS Grad	15-29	17992
1997	Employed,	QC	Male	1	No	6.95	44	HS Dropout	15-29	15901.6
1997	Employed,	ON	Female	78	No	16.4	25	HS Grad	30-44	21320
1997	Employed,	ON	Female	12	No	8.65	40	HS Grad	15-29	17992
1997	Employed,	QC	Male	61	NA	NA	10	HS Dropout	30-44	NA
1997	Employed,	ON	Male	199	Yes	17.56	40	HS Dropout	30-44	36524.8
1997	Employed,	QC	Female	86	No	11.2	20	Some PS	45-59	11648
1997	Employed,	ON	Female	34	Yes	11.34	40	Some PS	45-59	23587.2
1997	Unemployed	ON	Male	NA	NA	NA	NA	HS Grad	30-44	NA
1997	Employed,	QC	Female	1	No	7	18	HS Grad	30-44	6552
1997	Employed,	ON	Female	204	Yes	27.5	38	Ba or More	30-44	54340
1997	Employed,	QC	Female	238	Yes	20.66	35	Some PS	30-44	37601.2
1997	Employed,	QC	Female	17	No	6.5	7	HS Dropout	15-29	2366
1997	Employed,	ON	Female	7	No	8.79	42	HS Dropout	30-44	19197.36
1997	Employed,	AB	Female	65	No	8.75	40	HS Dropout	45-59	18200
1997	Employed,	ON	Male	89	NA	NA	50	Ba or More	30-44	NA
1997	Employed,	ON	Female	19	No	7.95	33	HS Dropout	15-29	13642.2
1997	Employed,	AB	Female	240	NA	NA	25	Ba or More	45-59	NA
1997	Employed,	ON	Male	40	No	7	8	HS Grad	15-29	2912
1997	Employed,	QC	Female	43	No	15	25	HS Grad	30-44	19500
1997	Employed,	ON	Female	20	No	10	40	Some PS	45-59	20800
1997	Employed,	AB	Male	6	No	10.49	40	Some PS	15-29	21819.2
1997	Employed,	ON	Male	34	No	9.06	40	Some PS	15-29	18844.8
1997	Employed,	ON	Male	240	No	21	40	HS Dropout	45-59	43680
1997	Employed,	ON	Female	60	No	8.89	45	Some PS	30-44	20802.6
1997	Unemployed	AB	Female	NA	NA	NA	NA	HS Dropout	15-29	NA
1997	Employed,	ON	Female	199	No	15	40	HS Dropout	45-59	31200
1997	Unemployed	QC	Male	NA	NA	NA	NA	HS Dropout	15-29	NA
1997	Employed,	ON	Female	85	Yes	13.52	35	HS Grad	30-44	24606.4
1997	Employed,	BC	Female	199	NA	NA	60	Ba or More	45-59	NA
1997	Employed,	AB	Female	58	NA	NA	60	HS Grad	45-59	NA
1997	Employed,	BC	Male	21	Yes	14.63	50	HS Grad	15-29	38038
1997	Employed,	QC	Male	240	NA	NA	35	Some PS	45-59	NA
1997	Employed,	ON	Male	15	No	22.84	40	Ba or More	15-29	47507.2
1997	Employed,	QC	Male	83	No	7	25	Some PS	15-29	9100
1997	Employed,	QC	Male	214	Yes	18.53	40	HS Dropout	45-59	38542.4
1997	Employed,	QC	Female	232	Yes	13.46	35	Some PS	30-44	24497.2
1997	Employed,	ON	Female	1	No	7.25	26	Some PS	45-59	9802
1997	Unemployed	ON	Male	NA	NA	NA	NA	Some PS	60+	NA
1997	Employed,	BC	Female	55	NA	NA	50	Some PS	45-59	NA
1997	Employed,	AB	Male	104	No	11.5	45	HS Dropout	60+	26910
1997	Employed,	AB	Female	32	No	7.75	40	HS Dropout	45-59	16120
1997	Employed,	QC	Male	132	NA	NA	30	HS Dropout	30-44	NA
1997	Unemployed	QC	Female	NA	NA	NA	NA	HS Grad	45-59	NA
1997	Employed,	ON	Male	163	No	48.08	40	HS Grad	45-59	100006.4
1997	Employed,	BC	Male	127	NA	NA	50	Some PS	30-44	NA
1997	Employed,	QC	Female	130	No	30.77	37.5	Some PS	15-29	60001.5
1997	Employed,	QC	Male	12	Yes	17	42.5	HS Dropout	15-29	37570
1997	Employed,	ON	Female	223	Yes	24	37	Some PS	30-44	46176
1997	Employed,	AB	Female	112	Yes	16.55	20	HS Grad	45-59	17212
1997	Employed,	ON	Male	87	NA	NA	50	Some PS	30-44	NA
1997	Employed,	QC	Female	91	Yes	12.5	14	Ba or More	30-44	9100
1997	Employed,	AB	Female	35	NA	NA	7	HS Grad	30-44	NA
1997	Employed,	ON	Female	144	No	11.75	40	Some PS	30-44	24440
1997	Employed,	QC	Male	59	No	35.1	40	Some PS	30-44	73008
1997	Employed,	QC	Male	240	Yes	30.77	50	Ba or More	60+	80002
1997	Employed,	QC	Male	63	Yes	11.03	40	HS Dropout	30-44	22942.4
1997	Employed,	ON	Female	7	No	6.85	3	HS Grad	15-29	1068.6
1997	Employed,	QC	Female	34	No	8.33	24	HS Dropout	30-44	10395.84
1997	Employed,	ON	Female	80	No	14.98	37.5	Some PS	30-44	29211
1997	Employed,	AB	Male	19	No	20	40	Some PS	30-44	41600
1997	Employed,	ON	Female	6	No	10	37.5	Ba or More	30-44	19500
1997	Employed,	ON	Female	10	Yes	7	8	HS Dropout	15-29	2912
1997	Employed,	BC	Male	240	Yes	18	40	HS Grad	45-59	37440
1997	Employed,	ON	Male	7	NA	NA	60	Ba or More	30-44	NA
1997	Employed,	ON	Male	198	Yes	25.3	38	Some PS	30-44	49992.8
1997	Employed,	QC	Female	31	No	10	15	Some PS	15-29	7800
1997	Employed,	AB	Male	1	No	7	20	HS Grad	15-29	7280
1997	Employed,	ON	Female	17	No	6.85	14	HS Grad	30-44	4986.8
1997	Employed,	QC	Male	4	No	10.8	10	Some PS	15-29	5616
1997	Employed,	QC	Male	99	No	38.46	45	Ba or More	30-44	89996.4
1997	Employed,	ON	Female	135	Yes	15	35	Some PS	45-59	27300
1997	Employed,	QC	Female	240	Yes	21.42	36	Some PS	45-59	40098.24
1997	Employed,	QC	Male	7	Yes	12.5	38	Some PS	30-44	24700
1997	Employed,	QC	Male	65	Yes	7.65	32	Some PS	15-29	12729.6
1997	Unemployed	BC	Female	NA	NA	NA	NA	HS Grad	15-29	NA
1997	Unemployed	ON	Female	NA	NA	NA	NA	HS Dropout	45-59	NA
1997	Employed,	ON	Female	7	No	6.4	9	HS Dropout	15-29	2995.2
1997	Employed,	BC	Female	96	No	8.5	60	HS Dropout	60+	26520
1997	Employed,	ON	Female	234	NA	NA	30	Some PS	60+	NA
1997	Unemployed	QC	Female	NA	NA	NA	NA	HS Dropout	15-29	NA
1997	Employed,	QC	Female	34	No	12	30	Ba or More	15-29	18720
1997	Employed,	AB	Female	98	No	15.79	35	Some PS	60+	28737.8
1997	Employed,	AB	Male	240	NA	NA	90	HS Dropout	45-59	NA
1997	Employed,	ON	Female	50	No	10.9	40	HS Grad	30-44	22672
1997	Employed,	ON	Male	78	Yes	29.91	37.5	Some PS	30-44	58324.5
1997	Employed,	ON	Female	119	Yes	16	37.5	Some PS	45-59	31200
1997	Employed,	QC	Female	134	No	12.5	40	HS Dropout	45-59	26000
1997	Employed,	BC	Female	111	Yes	13.92	37.5	HS Grad	45-59	27144
1997	Employed,	ON	Female	22	No	15	35	Ba or More	30-44	27300
1997	Employed,	ON	Female	132	No	8	40	HS Grad	45-59	16640
1997	Unemployed	BC	Female	NA	NA	NA	NA	Some PS	45-59	NA
1997	Employed,	BC	Male	17	Yes	25	37.5	Some PS	45-59	48750
1997	Employed,	QC	Female	3	No	8	5	HS Dropout	45-59	2080
1997	Unemployed	ON	Female	NA	NA	NA	NA	HS Grad	45-59	NA
1997	Employed,	ON	Female	123	No	9.5	40	Some PS	15-29	19760
1997	Unemployed	QC	Female	NA	NA	NA	NA	Ba or More	30-44	NA
1997	Employed,	QC	Male	15	No	9.25	40	Some PS	30-44	19240
1997	Employed,	ON	Male	240	No	21.79	45	HS Dropout	60+	50988.6
1997	Employed,	ON	Male	28	No	10	60	Some PS	15-29	31200
1997	Employed,	QC	Female	111	NA	NA	60	Ba or More	45-59	NA
1997	Employed,	ON	Female	123	No	25.9	37.5	Ba or More	30-44	50505
1997	Unemployed	ON	Male	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	QC	Male	240	No	26.44	40	Some PS	45-59	54995.2
1997	Employed,	AB	Male	51	NA	NA	50	HS Grad	30-44	NA
1997	Unemployed	AB	Male	NA	NA	NA	NA	Some PS	30-44	NA
1997	Employed,	BC	Male	72	No	19.78	50	HS Grad	15-29	51428
1997	Employed,	ON	Female	82	No	6.73	40	Some PS	45-59	13998.4
1997	Employed,	AB	Male	240	NA	NA	50	Some PS	45-59	NA
1997	Employed,	QC	Female	98	No	10	35	Some PS	15-29	18200
1997	Employed,	ON	Female	42	No	9	18	Some PS	30-44	8424
1997	Employed,	QC	Female	240	Yes	15.38	35	HS Grad	45-59	27991.6
